,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
21,capital exploration,0.0,21.52,0.0,21.52,914,0,6,6
124,oil condensate ngls,0.0,21.52,0.0,21.52,1104,0,6,6
159,price realization,8.55,21.52,1.42,21.52,921,1,6,5
54,energy service,9.83,20.29,9.83,3.38,3563,6,1,5
67,exploratory well cost,8.98,21.52,1.5,21.52,1000,1,6,5
173,sale operating revenue,0.0,21.88,0.0,18.24,882,0,5,5
183,service segment,9.83,20.0,9.83,3.33,1453,6,1,5
66,exploration expense,8.98,21.52,1.5,21.52,1459,1,6,5
24,commodity derivative instrument,13.83,21.52,2.31,21.52,1169,1,6,5
185,statement continued,8.98,21.82,1.5,18.18,4038,1,5,4
96,international total,7.31,21.14,1.22,17.62,1185,1,5,4
182,service product,9.83,21.14,9.83,7.04,1756,6,2,4
38,dd rate,13.83,21.76,2.31,18.13,1033,1,5,4
50,employee stock purchase,9.29,19.67,7.74,3.28,917,5,1,4
147,per boe,0.0,21.35,0.0,14.24,1184,0,4,4
46,distribution service,10.79,0.0,7.19,0.0,1047,4,0,4
75,financial statement continued,8.98,21.82,1.5,18.18,4026,1,5,4
2,adjusted ebitda,10.97,0.0,7.32,0.0,1051,4,0,4
83,gas production revenue,8.98,22.28,1.5,14.86,1507,1,4,3
95,integral part consolidated,8.55,21.7,1.42,14.47,1064,1,4,3
126,oil revenue,8.76,21.76,2.92,18.13,873,2,5,3
125,oil gas corporation,8.98,21.42,1.5,14.28,1218,1,4,3
36,corporation subsidiary note,0.0,20.76,0.0,10.38,1013,0,3,3
139,part consolidated financial,8.55,21.7,1.42,14.47,1023,1,4,3
68,file incorporated,9.79,20.0,6.53,3.33,1518,4,1,3
92,income expense net,10.34,21.72,8.62,7.24,1316,5,2,3
48,drilling contractor,9.16,19.67,6.1,3.28,938,4,1,3
120,note integral part,10.54,21.76,3.52,18.13,1628,2,5,3
119,note integral,10.54,21.76,3.52,18.13,1635,2,5,3
55,energy service segment,10.2,0.0,5.1,0.0,880,3,0,3
56,energy transfer,10.45,0.0,5.23,0.0,991,3,0,3
112,national oilwell,9.22,0.0,4.61,0.0,2040,3,0,3
109,marathon oil corporation,0.0,21.91,0.0,10.96,2203,0,3,3
35,corporation incentive,7.31,21.86,1.22,14.57,1385,1,4,3
108,marathon oil,0.0,21.91,0.0,10.96,3474,0,3,3
138,part consolidated,8.76,21.76,2.92,18.13,1067,2,5,3
158,pretax operating income,9.22,0.0,4.61,0.0,990,3,0,3
3,adopted pursuant,9.29,21.88,7.74,7.29,1043,5,2,3
4,adopted pursuant section,9.29,21.88,7.74,7.29,1037,5,2,3
196,unconsolidated affiliate,10.34,21.72,8.62,7.24,1045,5,2,3
186,stock purchase plan,9.29,21.72,7.74,7.24,1048,5,2,3
181,service group,9.16,23.76,6.1,3.96,965,4,1,3
